"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","DE115","PER_KM2","771.8",""
"2015","DE116","PER_KM2","485.7",""
"2015","DE117","PER_KM2","1,212.0",""
"2015","DE118","PER_KM2","301.7",""
"2015","DE119","PER_KM2","140.9",""
"2015","DE11A","PER_KM2","128.2",""
"2015","DE11B","PER_KM2","100.6",""
"2015","DE11C","PER_KM2","206.9",""
"2015","DE11D","PER_KM2","205.4",""
"2015","DE12","PER_KM2","396.4",""
"2015","DE121","PER_KM2","383.9",""
"2015","DE122","PER_KM2","1,756.7",""
"2015","DE123","PER_KM2","399.6",""
"2015","DE124","PER_KM2","306.3",""
"2015","DE125","PER_KM2","1,426.5",""
"2015","DE126","PER_KM2","2,088.4",""
"2015","DE127","PER_KM2","126.4",""
"2015","DE128","PER_KM2","506.9",""
"2015","DE129","PER_KM2","1,232.3",""
"2015","DE12A","PER_KM2","193.3",""
"2015","DE12B","PER_KM2","339.5",""
"2015","DE12C","PER_KM2","133.0",""
"2015","DE13","PER_KM2","236.0",""
"2015","DE131","PER_KM2","1,466.0",""
"2015","DE132","PER_KM2","185.1",""
"2015","DE133","PER_KM2","236.6",""
"2015","DE134","PER_KM2","224.7",""
"2015","DE135","PER_KM2","177.8",""
"2015","DE136","PER_KM2","202.8",""
"2015","DE137","PER_KM2","184.8",""
"2015","DE138","PER_KM2","339.9",""
"2015","DE139","PER_KM2","279.1",""
"2015","DE13A","PER_KM2","147.2",""
"2015","DE14","PER_KM2","202.9",""
"2015","DE141","PER_KM2","256.5",""
"2015","DE142","PER_KM2","424.1",""
"2015","DE143","PER_KM2","204.2",""
"2015","DE144","PER_KM2","1,022.5",""
"2015","DE145","PER_KM2","140.3",""
"2015","DE146","PER_KM2","136.4",""
"2015","DE147","PER_KM2","317.0",""
"2015","DE148","PER_KM2","169.9",""
"2015","DE149","PER_KM2","107.3",""
"2015","DE2","PER_KM2","181.0",""
"2015","DE21","PER_KM2","259.8",""
"2015","DE211","PER_KM2","990.4",""
"2015","DE212","PER_KM2","4,630.2",""
"2015","DE213","PER_KM2","1,658.6",""
"2015","DE214","PER_KM2","189.8",""
"2015","DE215","PER_KM2","123.1",""
"2015","DE216","PER_KM2","111.7",""
"2015","DE217","PER_KM2","255.3",""
"2015","DE218","PER_KM2","248.0",""
"2015","DE219","PER_KM2","105.4",""
"2015","DE21A","PER_KM2","152.5",""
