"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2010","DK021","MIO_EUR","7,391.7",""
"2010","DK022","MIO_EUR","17,155.71",""
"2010","DK03","MIO_EUR","47,069.35",""
"2010","DK031","MIO_EUR","16,521.32",""
"2010","DK032","MIO_EUR","30,548.03",""
"2010","DK04","MIO_EUR","49,135.59",""
"2010","DK041","MIO_EUR","17,214.84",""
"2010","DK042","MIO_EUR","31,920.75",""
"2010","DK05","MIO_EUR","21,366.13",""
"2010","DK050","MIO_EUR","21,366.13",""
"2010","DKZ","MIO_EUR","7,646.89",""
"2010","DKZZ","MIO_EUR","7,646.89",""
"2010","DKZZZ","MIO_EUR","7,646.89",""
"2010","DE","MIO_EUR","2,564,400",""
"2010","DE1","MIO_EUR","382,897.07",""
"2010","DE11","MIO_EUR","160,270.92",""
"2010","DE111","MIO_EUR","42,599.36",""
"2010","DE112","MIO_EUR","18,208.61",""
"2010","DE113","MIO_EUR","16,997.3",""
"2010","DE114","MIO_EUR","6,600.1",""
"2010","DE115","MIO_EUR","18,472.44",""
"2010","DE116","MIO_EUR","11,601.77",""
"2010","DE117","MIO_EUR","5,516.06",""
"2010","DE118","MIO_EUR","11,959.79",""
"2010","DE119","MIO_EUR","3,952.71",""
"2010","DE11A","MIO_EUR","6,125.52",""
"2010","DE11B","MIO_EUR","4,244.73",""
"2010","DE11C","MIO_EUR","4,020.8",""
"2010","DE11D","MIO_EUR","9,971.72",""
"2010","DE12","MIO_EUR","97,379.29",""
"2010","DE121","MIO_EUR","2,500.6",""
"2010","DE122","MIO_EUR","16,073.66",""
"2010","DE123","MIO_EUR","13,047.49",""
"2010","DE124","MIO_EUR","7,784.51",""
"2010","DE125","MIO_EUR","7,127.5",""
"2010","DE126","MIO_EUR","16,051.86",""
"2010","DE127","MIO_EUR","3,632.45",""
"2010","DE128","MIO_EUR","15,225.92",""
"2010","DE129","MIO_EUR","4,364.98",""
"2010","DE12A","MIO_EUR","3,483.65",""
"2010","DE12B","MIO_EUR","4,464.82",""
"2010","DE12C","MIO_EUR","3,621.85",""
"2010","DE13","MIO_EUR","65,611.45",""
"2010","DE131","MIO_EUR","9,131.36",""
"2010","DE132","MIO_EUR","5,698.64",""
"2010","DE133","MIO_EUR","3,724.64",""
"2010","DE134","MIO_EUR","13,629.82",""
"2010","DE135","MIO_EUR","4,525.85",""
"2010","DE136","MIO_EUR","6,147.93",""
"2010","DE137","MIO_EUR","4,781.12",""
"2010","DE138","MIO_EUR","7,618.85",""
"2010","DE139","MIO_EUR","6,268.22",""
"2010","DE13A","MIO_EUR","4,085.03",""
"2010","DE14","MIO_EUR","59,635.41",""
"2010","DE141","MIO_EUR","8,759.63",""
"2010","DE142","MIO_EUR","5,555.61",""
"2010","DE143","MIO_EUR","5,172.34",""
"2010","DE144","MIO_EUR","7,636.26",""
"2010","DE145","MIO_EUR","4,759.51",""
"2010","DE146","MIO_EUR","7,188.46",""
"2010","DE147","MIO_EUR","7,796.57",""
"2010","DE148","MIO_EUR","9,196.96",""
"2010","DE149","MIO_EUR","3,570.05",""
"2010","DE2","MIO_EUR","452,128.17",""
"2010","DE21","MIO_EUR","195,130.47",""
"2010","DE211","MIO_EUR","10,100.01",""
"2010","DE212","MIO_EUR","82,701.63",""
"2010","DE213","MIO_EUR","2,459.46",""
"2010","DE214","MIO_EUR","4,929.81",""
"2010","DE215","MIO_EUR","2,584.92",""
"2010","DE216","MIO_EUR","2,865.38",""
"2010","DE217","MIO_EUR","2,977.85",""
"2010","DE218","MIO_EUR","3,316.74",""
"2010","DE219","MIO_EUR","3,110.18",""
"2010","DE21A","MIO_EUR","3,067.82",""
"2010","DE21B","MIO_EUR","7,173.24",""
"2010","DE21C","MIO_EUR","4,141.45",""
"2010","DE21D","MIO_EUR","2,116.87",""
"2010","DE21E","MIO_EUR","2,968.04",""
"2010","DE21F","MIO_EUR","2,556.57",""
"2010","DE21G","MIO_EUR","2,992.9",""
"2010","DE21H","MIO_EUR","28,239.69",""
"2010","DE21I","MIO_EUR","2,815.07",""
"2010","DE21J","MIO_EUR","4,253.54",""
"2010","DE21K","MIO_EUR","6,114.62",""
"2010","DE21L","MIO_EUR","4,675.58",""
"2010","DE21M","MIO_EUR","5,166.5",""
"2010","DE21N","MIO_EUR","3,802.59",""
"2010","DE22","MIO_EUR","36,652.07",""
"2010","DE221","MIO_EUR","3,064.57",""
"2010","DE222","MIO_EUR","2,799.99",""
"2010","DE223","MIO_EUR","2,012.89",""
"2010","DE224","MIO_EUR","3,538.46",""
"2010","DE225","MIO_EUR","1,577.85",""
"2010","DE226","MIO_EUR","3,067.25",""
"2010","DE227","MIO_EUR","4,585.9",""
"2010","DE228","MIO_EUR","4,399.21",""
"2010","DE229","MIO_EUR","1,826.43",""
"2010","DE22A","MIO_EUR","3,088.54",""
"2010","DE22B","MIO_EUR","1,973.86",""
"2010","DE22C","MIO_EUR","4,717.12",""
"2010","DE23","MIO_EUR","34,601.81",""
"2010","DE231","MIO_EUR","1,782.08",""
"2010","DE232","MIO_EUR","10,335.37",""
"2010","DE233","MIO_EUR","1,974.74",""
"2010","DE234","MIO_EUR","2,109.17",""
"2010","DE235","MIO_EUR","3,416.03",""
"2010","DE236","MIO_EUR","3,791.44",""
"2010","DE237","MIO_EUR","2,098.73",""
"2010","DE238","MIO_EUR","3,417.63",""
"2010","DE239","MIO_EUR","3,787.09",""
"2010","DE23A","MIO_EUR","1,889.52",""
"2010","DE24","MIO_EUR","30,812.44",""
"2010","DE241","MIO_EUR","3,693.8",""
"2010","DE242","MIO_EUR","3,584.25",""
"2010","DE243","MIO_EUR","2,674.69",""
"2010","DE244","MIO_EUR","1,751.93",""
"2010","DE245","MIO_EUR","2,871.1",""
"2010","DE246","MIO_EUR","1,787.95",""
"2010","DE247","MIO_EUR","1,893.18",""
"2010","DE248","MIO_EUR","2,117.85",""
"2010","DE249","MIO_EUR","2,503.42",""
"2010","DE24A","MIO_EUR","1,890.21",""
"2010","DE24B","MIO_EUR","1,989.24",""
"2010","DE24C","MIO_EUR","2,027.08",""
"2010","DE24D","MIO_EUR","2,027.73",""
"2010","DE25","MIO_EUR","58,315.09",""
"2010","DE251","MIO_EUR","1,898.41",""
"2010","DE252","MIO_EUR","7,329.17",""
"2010","DE253","MIO_EUR","3,314.8",""
"2010","DE254","MIO_EUR","23,015.8",""
"2010","DE255","MIO_EUR","1,181.97",""
"2010","DE256","MIO_EUR","4,484.83",""
"2010","DE257","MIO_EUR","3,633.45",""
"2010","DE258","MIO_EUR","2,114.12",""
"2010","DE259","MIO_EUR","4,168.22",""
"2010","DE25A","MIO_EUR","2,119.03",""
"2010","DE25B","MIO_EUR","2,779.32",""
"2010","DE25C","MIO_EUR","2,275.97",""
"2010","DE26","MIO_EUR","41,373.29",""
"2010","DE261","MIO_EUR","4,186.03",""
"2010","DE262","MIO_EUR","4,202.27",""
"2010","DE263","MIO_EUR","6,199.51",""
"2010","DE264","MIO_EUR","4,633.11",""
"2010","DE265","MIO_EUR","2,505.08",""
"2010","DE266","MIO_EUR","2,236.22",""
"2010","DE267","MIO_EUR","1,995.22",""
"2010","DE268","MIO_EUR","2,436.85",""
"2010","DE269","MIO_EUR","3,382.59",""
"2010","DE26A","MIO_EUR","3,805.51",""
"2010","DE26B","MIO_EUR","2,262.23",""
"2010","DE26C","MIO_EUR","3,528.68",""
"2010","DE27","MIO_EUR","55,243",""
"2010","DE271","MIO_EUR","11,093.46",""
"2010","DE272","MIO_EUR","1,274.26",""
"2010","DE273","MIO_EUR","2,961.76",""
"2010","DE274","MIO_EUR","1,956.99",""
"2010","DE275","MIO_EUR","2,956.24",""
"2010","DE276","MIO_EUR","5,552.2",""
"2010","DE277","MIO_EUR","2,401.62",""
"2010","DE278","MIO_EUR","4,510.83",""
"2010","DE279","MIO_EUR","4,717.49",""
"2010","DE27A","MIO_EUR","2,136.07",""
"2010","DE27B","MIO_EUR","3,660.68",""
"2010","DE27C","MIO_EUR","3,585.31",""
"2010","DE27D","MIO_EUR","4,776.25",""
"2010","DE27E","MIO_EUR","3,659.84",""
"2010","DE3","MIO_EUR","103,051.7",""
"2010","DE30","MIO_EUR","103,051.7",""
"2010","DE300","MIO_EUR","103,051.7",""
"2010","DE4","MIO_EUR","55,769.62",""
