"TIME","GEO","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2010","CZ063","THS","EMP","TOTAL","222",""
"2010","CZ064","THS","EMP","TOTAL","555",""
"2010","CZ07","THS","EMP","TOTAL","532",""
"2010","CZ071","THS","EMP","TOTAL","270",""
"2010","CZ072","THS","EMP","TOTAL","262",""
"2010","CZ08","THS","EMP","TOTAL","529",""
"2010","CZ080","THS","EMP","TOTAL","529",""
"2010","DK","THS","EMP","TOTAL","2,788",""
"2010","DK0","THS","EMP","TOTAL","2,781",""
"2010","DK01","THS","EMP","TOTAL","971",""
"2010","DK011","THS","EMP","TOTAL","454",""
"2010","DK012","THS","EMP","TOTAL","316",""
"2010","DK013","THS","EMP","TOTAL","183",""
"2010","DK014","THS","EMP","TOTAL","18",""
"2010","DK02","THS","EMP","TOTAL","326",""
"2010","DK021","THS","EMP","TOTAL","97",""
"2010","DK022","THS","EMP","TOTAL","229",""
"2010","DK03","THS","EMP","TOTAL","576",""
"2010","DK031","THS","EMP","TOTAL","218",""
"2010","DK032","THS","EMP","TOTAL","358",""
"2010","DK04","THS","EMP","TOTAL","631",""
"2010","DK041","THS","EMP","TOTAL","222",""
"2010","DK042","THS","EMP","TOTAL","409",""
"2010","DK05","THS","EMP","TOTAL","276",""
"2010","DK050","THS","EMP","TOTAL","276",""
"2010","DKZ","THS","EMP","TOTAL","7",""
"2010","DKZZ","THS","EMP","TOTAL","7",""
"2010","DKZZZ","THS","EMP","TOTAL","7",""
"2010","DE","THS","EMP","TOTAL","41,048",""
"2010","DE1","THS","EMP","TOTAL","5,720.11",""
"2010","DE11","THS","EMP","TOTAL","2,187.25",""
"2010","DE111","THS","EMP","TOTAL","473.28",""
"2010","DE112","THS","EMP","TOTAL","216.9",""
"2010","DE113","THS","EMP","TOTAL","252.19",""
"2010","DE114","THS","EMP","TOTAL","111.38",""
"2010","DE115","THS","EMP","TOTAL","239.58",""
"2010","DE116","THS","EMP","TOTAL","187.83",""
"2010","DE117","THS","EMP","TOTAL","100.65",""
"2010","DE118","THS","EMP","TOTAL","152.22",""
"2010","DE119","THS","EMP","TOTAL","62.58",""
"2010","DE11A","THS","EMP","TOTAL","100.08",""
"2010","DE11B","THS","EMP","TOTAL","71.62",""
"2010","DE11C","THS","EMP","TOTAL","65.35",""
"2010","DE11D","THS","EMP","TOTAL","153.6",""
"2010","DE12","THS","EMP","TOTAL","1,457.65",""
"2010","DE121","THS","EMP","TOTAL","40.39",""
"2010","DE122","THS","EMP","TOTAL","222.13",""
"2010","DE123","THS","EMP","TOTAL","193.94",""
"2010","DE124","THS","EMP","TOTAL","109.37",""
"2010","DE125","THS","EMP","TOTAL","113.27",""
"2010","DE126","THS","EMP","TOTAL","224.46",""
"2010","DE127","THS","EMP","TOTAL","65.54",""
"2010","DE128","THS","EMP","TOTAL","218.15",""
"2010","DE129","THS","EMP","TOTAL","72.3",""
"2010","DE12A","THS","EMP","TOTAL","62.07",""
"2010","DE12B","THS","EMP","TOTAL","75.26",""
"2010","DE12C","THS","EMP","TOTAL","60.77",""
"2010","DE13","THS","EMP","TOTAL","1,121.76",""
"2010","DE131","THS","EMP","TOTAL","156.79",""
"2010","DE132","THS","EMP","TOTAL","106.02",""
"2010","DE133","THS","EMP","TOTAL","67.09",""
"2010","DE134","THS","EMP","TOTAL","225.21",""
"2010","DE135","THS","EMP","TOTAL","71.5",""
"2010","DE136","THS","EMP","TOTAL","111.51",""
"2010","DE137","THS","EMP","TOTAL","76.89",""
"2010","DE138","THS","EMP","TOTAL","131.63",""
"2010","DE139","THS","EMP","TOTAL","101.45",""
"2010","DE13A","THS","EMP","TOTAL","73.67",""
"2010","DE14","THS","EMP","TOTAL","953.45",""
"2010","DE141","THS","EMP","TOTAL","141.43",""
"2010","DE142","THS","EMP","TOTAL","99.69",""
"2010","DE143","THS","EMP","TOTAL","89.06",""
"2010","DE144","THS","EMP","TOTAL","118.89",""
"2010","DE145","THS","EMP","TOTAL","73.95",""
"2010","DE146","THS","EMP","TOTAL","101.97",""
"2010","DE147","THS","EMP","TOTAL","112.27",""
"2010","DE148","THS","EMP","TOTAL","148.46",""
"2010","DE149","THS","EMP","TOTAL","67.73",""
"2010","DE2","THS","EMP","TOTAL","6,780.78",""
"2010","DE21","THS","EMP","TOTAL","2,482.04",""
"2010","DE211","THS","EMP","TOTAL","108.78",""
"2010","DE212","THS","EMP","TOTAL","954.77",""
"2010","DE213","THS","EMP","TOTAL","45.55",""
"2010","DE214","THS","EMP","TOTAL","58.11",""
"2010","DE215","THS","EMP","TOTAL","51.73",""
"2010","DE216","THS","EMP","TOTAL","52.69",""
"2010","DE217","THS","EMP","TOTAL","50.95",""
"2010","DE218","THS","EMP","TOTAL","49.76",""
"2010","DE219","THS","EMP","TOTAL","48.33",""
"2010","DE21A","THS","EMP","TOTAL","50.17",""
"2010","DE21B","THS","EMP","TOTAL","102.49",""
"2010","DE21C","THS","EMP","TOTAL","69.8",""
"2010","DE21D","THS","EMP","TOTAL","43.16",""
"2010","DE21E","THS","EMP","TOTAL","52.33",""
"2010","DE21F","THS","EMP","TOTAL","46.24",""
"2010","DE21G","THS","EMP","TOTAL","51.35",""
"2010","DE21H","THS","EMP","TOTAL","237.96",""
"2010","DE21I","THS","EMP","TOTAL","42.1",""
"2010","DE21J","THS","EMP","TOTAL","49.51",""
"2010","DE21K","THS","EMP","TOTAL","107.06",""
"2010","DE21L","THS","EMP","TOTAL","61.38",""
"2010","DE21M","THS","EMP","TOTAL","84.78",""
"2010","DE21N","THS","EMP","TOTAL","63.05",""
"2010","DE22","THS","EMP","TOTAL","613.44",""
"2010","DE221","THS","EMP","TOTAL","52.68",""
"2010","DE222","THS","EMP","TOTAL","47.7",""
"2010","DE223","THS","EMP","TOTAL","37.75",""
"2010","DE224","THS","EMP","TOTAL","65.16",""
"2010","DE225","THS","EMP","TOTAL","34.02",""
"2010","DE226","THS","EMP","TOTAL","50.5",""
"2010","DE227","THS","EMP","TOTAL","59.2",""
"2010","DE228","THS","EMP","TOTAL","79.01",""
"2010","DE229","THS","EMP","TOTAL","36.27",""
"2010","DE22A","THS","EMP","TOTAL","56.57",""
"2010","DE22B","THS","EMP","TOTAL","35.92",""
"2010","DE22C","THS","EMP","TOTAL","58.69",""
"2010","DE23","THS","EMP","TOTAL","573.23",""
"2010","DE231","THS","EMP","TOTAL","33.52",""
"2010","DE232","THS","EMP","TOTAL","136.16",""
"2010","DE233","THS","EMP","TOTAL","39.8",""
"2010","DE234","THS","EMP","TOTAL","37.95",""
"2010","DE235","THS","EMP","TOTAL","67.99",""
"2010","DE236","THS","EMP","TOTAL","60.48",""
"2010","DE237","THS","EMP","TOTAL","36.05",""
"2010","DE238","THS","EMP","TOTAL","58.25",""
"2010","DE239","THS","EMP","TOTAL","70.61",""
"2010","DE23A","THS","EMP","TOTAL","32.43",""
"2010","DE24","THS","EMP","TOTAL","554.57",""
